Music,Artist,Text,Unnamed: 3
Teesperando,LuanSantana,"['mesmo', 'caia', 'cantada', 'mesmo', 'conheça', 'outro', 'cara', 'na', 'fila', 'banco', 'um', 'tal', 'fernando', 'um', 'lance', 'assim', 'sem', 'graça', 'mesmo', 'fiquem', 'gostar', 'mesmo', 'casem', 'amar', 'seis', 'meses', 'um', 'olhe', 'pro', 'outro', 'aí', 'pois', 'sei', 'lá', 'mesmo', 'suporte', 'casamento', 'por', 'causa', 'filhos', 'tempo', 'dez', 'vinte', 'trinta', 'anos', 'até', 'assustar', 'cabelos', 'brancos', 'um', 'dia', 'vai', 'sentar', 'cadeira', 'balanço', 'vai', 'lembrar', 'tempo', 'vinte', 'anos', 'vai', 'lembrar', 'mim', 'perguntar', 'por', 'onde', 'cara', 'deve', 'estar', 'vou', 'estar', 'esperando', 'nem', 'velhinha', 'gagá', 'com', 'noventa', 'viúva', 'sozinha', 'não', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'nem', 'além', 'dessa', 'vida', 'eu', 'vou', 'estar', 'te', 'esperando', 'mesmo', 'caia', 'cantada', 'mesmo', 'conheça', 'outro', 'cara', 'na', 'fila', 'banco', 'um', 'tal', 'fernando', 'um', 'lance', 'assim', 'sem', 'graça', 'mesmo', 'fiquem', 'gostar', 'mesmo', 'casem', 'amar', 'seis', 'meses', 'um', 'olhe', 'pro', 'outro', 'aí', 'pois', 'sei', 'lá', 'mesmo', 'suporte', 'casamento', 'por', 'causa', 'filhos', 'tempo', 'dez', 'vinte', 'trinta', 'anos', 'até', 'assustar', 'cabelos', 'brancos', 'um', 'dia', 'vai', 'sentar', 'cadeira', 'balanço', 'vai', 'lembrar', 'tempo', 'vinte', 'anos', 'vai', 'lembrar', 'mim', 'perguntar', 'por', 'onde', 'cara', 'deve', 'estar', 'vou', 'estar', 'esperando', 'nem', 'velhinha', 'gagá', 'com', 'noventa', 'viúva', 'sozinha', 'não', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'nem', 'além', 'dessa', 'vida', 'eu', 'vou', 'estar', 'te', 'esperando', 'nem', 'velhinha', 'gagá', 'com', 'noventa', 'viúva', 'sozinha', 'não', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'nem', 'além', 'dessa', 'vida', 'eu', 'vou', 'estar', 'te', 'esperando', 'te', 'esperando']",
Vidinhadebalada,HenriqueeJuliano,"['oi', 'tudo', 'bem', 'que', 'bom', 'ver', 'gente', 'ficou', 'coração', 'gostou', 'deu', 'pra', 'esquecer', 'desculpe', 'visita', 'vim', 'falar', 'tô', 'afim', 'cê', 'vai', 'ter', 'ficar', 'eu', 'vim', 'acabar', 'vidinha', 'balada', 'dar', 'outro', 'gosto', 'pra', 'boca', 'ressaca', 'refrão', 'vai', 'namorar', 'comigo', 'sim', 'vai', 'mim', 'igual', 'dois', 'se', 'reclamar', 'cê', 'vai', 'casar', 'comunhão', 'bens', 'seu', 'coração', 'vai', 'namorar', 'comigo', 'sim', 'vai', 'mim', 'igual', 'dois', 'se', 'reclamar', 'cê', 'vai', 'casar', 'comunhão', 'bens', 'seu', 'coração', 'vai', 'namorar', 'comigo', 'sim']",
Infiel,MaríliaMendonça,"['isso', 'disputa', 'quero', 'provocar', 'descobri', 'faz', 'ano', 'tô', 'procurando', 'pra', 'dizer', 'hoje', 'farsa', 'vai', 'acabar', 'hoje', 'hora', 'ir', 'embora', 'hoje', 'vai', 'ficar', 'no', 'momento', 'deve', 'estar', 'feliz', 'achando', 'ganhou', 'não', 'perdi', 'nada', 'acabei', 'livrar', 'com', 'certeza', 'vai', 'atrás', 'mas', 'outra', 'intenção', 'tá', 'casa', 'rumo', 'única', 'opção', 'agora', 'aguenta', 'barra', 'sozinha', 'se', 'sabia', 'tudo', 'se', 'vira', 'culpa', 'o', 'prêmio', 'vale', 'nada', 'estou', 'entregando', 'pus', 'malas', 'lá', 'ainda', 'saiu', 'chorando', 'essa', 'competição', 'amor', 'serviu', 'pra', 'machucar', 'tá', 'mão', 'você', 'agora', 'vai', 'cuidar', 'traidor', 'me', 'faça', 'favor', 'iêê', 'infiel', 'eu', 'quero', 'ver', 'morar', 'motel', 'estou', 'expulsando', 'coração', 'assuma', 'consequências', 'dessa', 'traição', 'iêêê', 'infiel', 'agora', 'vai', 'fazer', 'papel', 'daqui', 'tempo', 'vai', 'acostumar', 'ai', 'vai', 'ser', 'vai', 'enganar', 'você', 'vai', 'mudar', 'aaaa', 'o', 'prêmio', 'vale', 'nada', 'estou', 'entregando', 'pus', 'malas', 'lá', 'ainda', 'saiu', 'chorando', 'essa', 'competição', 'amor', 'serviu', 'pra', 'machucar', 'tá', 'mão', 'você', 'agora', 'vai', 'cuidar', 'traidor', 'me', 'faça', 'favor', 'iêê', 'infiel', 'eu', 'quero', 'ver', 'morar', 'motel', 'estou', 'expulsando', 'coração', 'assuma', 'consequências', 'dessa', 'traição', 'iêêê', 'infiel', 'agora', 'vai', 'fazer', 'papel', 'daqui', 'tempo', 'vai', 'acostumar', 'ai', 'vai', 'ser', 'vai', 'enganar']",
Atrasadinha,FelipeAraújoeFerrugem,"['botei', 'melhor', 'roupa', 'pra', 'esconder', 'defeitos', 'exagerei', 'perfume', 'pra', 'impressionar', 'cheguei', 'cedo', 'pra', 'ver', 'chegar', 'chegou', 'atrasadinha', 'tava', 'linda', 'boca', 'calou', 'mas', 'coração', 'gritou', 'cima', 'vai', 'fé', 'aposta', 'nela', 'que', 'boa', 'menina', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'daí', 'primeiro', 'encontro', 'hoje', 'beijo', 'pronto', 'oh', 'oh', 'chegou', 'atrasadinha', 'tava', 'linda', 'boca', 'calou', 'mas', 'coração', 'gritou', 'cima', 'vai', 'fé', 'aposta', 'nela', 'que', 'boa', 'menina', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'daí', 'primeiro', 'encontro', 'hoje', 'beijo', 'pronto', 'hoje', 'beijo', 'pronto', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'hoje', 'beijo', 'pronto']",
Largadoástraças,ZéNetoeCristiano,"['meu', 'orgulho', 'caiu', 'quando', 'subiu', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'piorar', 'tá', 'tocando', 'modão', 'arrastar', 'o', 'chifre', 'asfalto', 'tô', 'tentando', 'esquecer', 'mas', 'coração', 'entende', 'de', 'novo', 'fechando', 'bar', 'afogando', 'saudade', 'num', 'querosene', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'eu', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'que', 'nunca', 'acaba', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'eu', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'que', 'nunca', 'acaba', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina', 'meu', 'orgulho', 'caiu', 'quando', 'subiu', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'piorar', 'tá', 'tocando', 'modão', 'arrastar', 'o', 'chifre', 'asfalto', 'tô', 'tentando', 'esquecer', 'mas', 'coração', 'percebe', 'de', 'novo', 'fechando', 'bar', 'afogando', 'saudade', 'num', 'querosene', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'eu', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'que', 'nunca', 'acaba', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'eu', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'que', 'nunca', 'acaba', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina']",
AmarnãoéPecado,LuanSantana,"['eu', 'sei', 'onde', 'vem', 'essa', 'força', 'leva', 'pra', 'eu', 'sei', 'faz', 'bem', 'mas', 'confesso', 'fundo', 'duvidei', 'tive', 'medo', 'segredo', 'guardei', 'sentimento', 'sufoquei', 'mas', 'agora', 'hora', 'vou', 'gritar', 'pra', 'todo', 'mundo', 'vez', 'eu', 'tô', 'apaixonado', 'eu', 'tô', 'contando', 'tudo', 'tô', 'ligando', 'pro', 'vão', 'dizer', 'amar', 'pecado', 'errado', 'que', 'dane', 'mundo', 'eu', 'quero']",
Os10MandamentosdoAmor,EduardoCosta,"['os', 'dez', 'mandamentos', 'amor', 'para', 'conquistar', 'mulher', 'ter', 'carinho', 'ter', 'jeitinho', 'tem', 'dar', 'quer', 'primeiro', 'tudo', 'começa', 'paquera', 'o', 'olhar', 'bem', 'dentro', 'olhar', 'jeitinho', 'tire', 'dançar', 'dance', 'macio', 'pra', 'aconchegar', 'segundo', 'papo', 'derrubar', 'avião', 'suavemente', 'pegando', 'mão', 'terceiro', 'cheiro', 'pra', 'sentir', 'perfume', 'olhando', 'outras', 'pra', 'sentir', 'ciúmes', 'o', 'quarto', 'brincar', 'escurinho', 'ser', 'lobo', 'mau', 'chapeuzinho', 'o', 'quinto', 'ser', 'bem', 'safadinho', 'preste', 'atenção', 'agora', 'ao', 'sexto', 'mandamento', 'ela', 'vai', 'esquecer', 'momento', 'repita', 'dose', 'sentir', 'gostou', 'na', 'hora', 'h', 'chame', 'amor', 'sétimo', 'toque', 'falar', 'paixão', 'falar', 'somente', 'coisas', 'coração', 'oitavo', 'mandamento', 'diz', 'jurar', 'lhe', 'ser', 'fiel', 'morte', 'levar', 'no', 'nono', 'diz', 'vai', 'voltar', 'diz', 'amanhã', 'vai', 'telefonar', 'décimo', 'deixa', 'esperar']",
Vagalumes,Pollo(part.IvoMozart),"['vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'eu', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'do', 'lado', 'vou', 'escrever', 'milhão', 'canções', 'pra', 'ouvir', 'que', 'amor', 'sorriso', 'faz', 'sorrir', 'vou', 'marte', 'lua', 'cê', 'sabe', 'tô', 'não', 'cabe', 'tanta', 'saudade', 'verdade', 'nua', 'crua', 'eu', 'sei', 'faço', 'caminho', 'traço', 'um', 'casal', 'lei', 'ocupando', 'espaço', 'se', 'to', 'contigo', 'ligo', 'sol', 'aparecer', 'é', 'faz', 'sentido', 'caminhar', 'dar', 'mão', 'pra', 'teu', 'sonho', 'impossível', 'vai', 'ser', 'realidade', 'sei', 'mundo', 'tá', 'terrível', 'vai', 'ser', 'maldade', 'vai', 'tirar', 'faço', 'ver', 'pra', 'sorrir', 'faço', 'mundo', 'inteiro', 'saber', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'eu', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'do', 'lado', 'pra', 'ter', 'sorriso', 'descubro', 'paraíso', 'é', 'ver', 'boca', 'perco', 'juízo', 'inteiro', 'sentimento', 'verdadeiro', 'som', 'janelle', 'monáe', 'vem', 'deixa', 'acontecer', 'me', 'abraça', 'tempo', 'passa', 'cê', 'tá', 'perto', 'dá', 'mão', 'vem', 'comigo', 'vejo', 'tô', 'certo', 'eu', 'digo', 'amo', 'cê', 'pede', 'algo', 'impossível', 'levanta', 'cama', 'hoje', 'céu', 'incrível', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'eu', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'do', 'lado', 'faço', 'braços', 'lugar', 'seguro', 'procurei', 'paz', 'outro', 'abraço', 'achei', 'juro', 'saio', 'compasso', 'passo', 'apuros', 'vier', 'abro', 'janela', 'pra', 'possa', 'ver', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'eu', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'do', 'lado']",
Cadeiradeaço,ZéNetoeCristiano,"['sobraram', 'marcas', 'brigas', 'separação', 'ficaram', 'cacos', 'vidro', 'flores', 'chão', 'se', 'abaixado', 'voz', 'talvez', 'hoje', 'seriamos', 'um', 'mês', 'quatro', 'dias', 'tentando', 'nada', 'atender', 'outras', 'bocas', 'desencanando', 'coração', 'quase', 'parou', 'tanto', 'sofrer', 'meu', 'refúgio', 'mesa', 'bar', 'pra', 'tentar', 'esquecer', 'sentado', 'cadeira', 'aço', 'enferrujada', 'bebendo', 'cada', 'copo', 'americano', 'enganava', 'sofrimento', 'achei', 'esquecido', 'danada', 'naquela', 'hora', 'até', 'ver', 'nome', 'escrito', 'lata', 'coca-cola', 'cadeira', 'aço', 'enferrujada', 'bebendo', 'cada', 'copo', 'americano', 'enganava', 'sofrimento', 'achei', 'esquecido', 'danada', 'naquela', 'hora', 'até', 'ver', 'nome', 'escrito', 'na', 'lata', 'coca-cola', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'deu', 'saudade', 'agora', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'garçom', 'joga', 'lata']",
ProntoFalei,EduardoCosta,"['pegue', 'coisas', 'coloca', 'mala', 'eu', 'vou', 'esperar', 'lá', 'sofá', 'sala', 'é', 'hora', 'dizer', 'adeus', 'aguentei', 'demais', 'ilusões', 'dizendo', 'amava', 'tendo', 'outras', 'paixões', 'aí', 'não', 'acostumei', 'ter', 'metade', 'uma', 'aqui', 'comigo', 'outra', 'saudade', 'passou', 'infelizmente', 'começa', 'vai', 'ter', 'fim', 'sonhei', 'pra', 'mim', 'vá', 'viver', 'vida', 'esquece', 'desaparece', 'eu', 'quero', 'sujeitar', 'sujeitei', 'me', 'doando', 'tanto', 'doei', 'deu', 'valor', 'eu', 'quero', 'ter', 'depender', 'amor', 'alguém', 'que', 'fala', 'ama', 'ama', 'ninguém', 'pode', 'ir', 'cansei', 'pronto', 'falei']",
