Music;Artist;Text;
Teesperando;LuanSantana;Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco Um tal de Fernando Um lance, assim Sem graça  Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses Um olhe pro outro E aí, pois é Sei lá  Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos  Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo em que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar?  E eu vou estar te esperando Nem que já esteja velhinha gagá Com noventa, viúva, sozinha Não vou me importar  Vou ligar, te chamar pra sair Namorar no sofá Nem que seja além dessa vida Eu vou estar Te esperando  Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco Um tal de Fernando Um lance, assim Sem graça  Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses Um olhe pro outro E aí, pois é Sei lá  Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos  Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo em que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar?  E eu vou estar te esperando Nem que já esteja velhinha gagá Com noventa, viúva, sozinha Não vou me importar  Vou ligar, te chamar pra sair Namorar no sofá Nem que seja além dessa vida Eu vou estar Te esperando Nem que já esteja velhinha gagá Com noventa, viúva, sozinha Não vou me importar  Vou ligar, te chamar pra sair Namorar no sofá Nem que seja além dessa vida Eu vou estar Te esperando Te esperando;
Vidinhadebalada;HenriqueeJuliano;"Oi, tudo bem? Que bom te ver A gente ficou, coração gostou não deu pra esquecer Desculpe a visita, só vim te falar Tô afim de você  e se não tiver ""cê"" vai ter que ficar   Eu vim acabar com essa sua vidinha de balada E dar outro gosto pra essa sua boca de ressaca  (Refrão) Vai namorar comigo sim Vai por mim igual nós dois não tem Se reclamar ""cê"" vai casar também, com comunhão de bens Seu coração é meu e o meu é seu também   Vai namorar comigo sim Vai por mim igual nós dois não tem Se reclamar ""cê"" vai casar também, com comunhão de bens Seu coração é meu e o meu é seu também   Vai namorar comigo sim";
Infiel;MaríliaMendonça;Isso não é uma disputa eu não quero te provocar Descobri faz um ano e tô te procurando pra dizer Hoje a farsa vai acabar  Hoje não tem hora de ir embora Hoje ele vai ficar No momento deve estar feliz E achando que ganhou Não perdi nada, acabei de me livrar  Com certeza ele vai atrás Mas com outra intenção  Tá sem casa, sem rumo E você é a única opção  E agora será que aguenta A barra sozinha Se sabia de tudo Se vira a culpa não é minha  O seu prêmio que não vale nada Estou te entregando Pus as malas lá fora e ele ainda saiu chorando Essa competição por amor só serviu pra me machucar Tá na sua mão Você agora vai cuidar, de um traidor Me faça esse favor  Iêê Infiel Eu quero ver você morar num motel Estou te expulsando do meu coração Assuma as consequências dessa traição  Iêêê Infiel Agora ela vai fazer o meu papel Daqui um tempo você vai se acostumar E ai vai ser a ela quem vai enganar  Você não vai mudar aaaa  O seu prêmio que não vale nada Estou te entregando Pus as malas lá fora e ele ainda saiu chorando Essa competição por amor só serviu pra me machucar Tá na sua mão Você agora vai cuidar, de um traidor Me faça esse favor  Iêê Infiel Eu quero ver você morar num motel Estou te expulsando do meu coração Assuma as consequências dessa traição  Iêêê Infiel Agora ela vai fazer o meu papel Daqui um tempo você vai se acostumar E ai vai ser a ela quem vai enganar;
Atrasadinha;FelipeAraújoeFerrugem;Botei a melhor roupa pra esconder os meus defeitos Exagerei no perfume, pra te impressionar Cheguei mais cedo pra te ver chegar E você chegou Atrasadinha, mas tava linda E a boca calou Mas meu coração gritou por cima E vai na fé, aposta nela Que ela é uma boa menina Vamos pular A parte que eu peço aquele vinho do bom A taça não merece tirar seu batom Deixa comigo que pra isso eu tenho o dom Vamos pular A parte que eu peço aquele vinho do bom A taça não merece tirar seu batom Deixa comigo que pra isso eu tenho o dom E daí que é o nosso primeiro encontro? Hoje eu te beijo e pronto Oh oh E você chegou Atrasadinha, mas tava linda E a boca calou Mas meu coração gritou por cima Vai na fé, aposta nela Que ela é uma boa menina Vamos pular A parte que eu peço aquele vinho do bom A taça não merece tirar seu batom Deixa comigo que pra isso eu tenho o dom Vamos pular A parte que eu peço aquele vinho do bom A taça não merece tirar seu batom Deixa comigo que pra isso eu tenho o dom E vamos pular A parte que eu peço aquele vinho do bom A taça não merece tirar seu batom Deixa comigo que pra isso eu tenho o dom E daí que é o nosso primeiro encontro? Hoje eu te beijo e pronto Hoje eu te beijo e pronto Uh uh uh Uh uh uh Uh uh uh Hoje eu te beijo e pronto;
Largadoástraças;ZéNetoeCristiano;"Meu orgulho caiu Quando subiu o álcool Ai deu ruim pra mim E pra piorar Tá tocando um modão de arrastar O chifre no asfalto  Tô tentando te esquecer Mas meu coração não entende De novo eu fechando esse bar Afogando a saudade Num querosene  Vou beijando esse copo Abraçando as garrafas Solidão é companheira Nesse risca faca  Enquanto ""cê"" não volta Eu tô largado as traças Maldito sentimento Que nunca se acaba  Vou beijando esse copo Abraçando as garrafas Solidão é companheira Nesse risca faca  Enquanto ""cê"" não volta Eu tô largado as traças Maldito sentimento Que nunca se acaba  Oooo oooo A falta de você Bebida não ameniza Oooo oooo Tô tentando apagar Fogo com gasolina  Meu orgulho caiu Quando subiu o álcool Ai deu ruim pra mim E pra piorar Tá tocando um modão de arrastar O chifre no asfalto  Tô tentando te esquecer Mas meu coração não percebe De novo eu fechando esse bar Afogando a saudade Num querosene  Vou beijando esse copo Abraçando as garrafas Solidão é companheira Nesse risca faca  Enquanto ""cê"" não volta Eu tô largado as traças Maldito sentimento Que nunca se acaba  Vou beijando esse copo Abraçando as garrafas Solidão é companheira Nesse risca faca  Enquanto ""cê"" não volta Eu tô largado as traças Maldito sentimento Que nunca se acaba  Oooo oooo A falta de você Bebida não ameniza Oooo oooo Tô tentando apagar Fogo com gasolina  Oooo oooo A falta de você Bebida não ameniza Oooo oooo Tô tentando apagar Fogo com gasolina";
AmarnãoéPecado;LuanSantana;Eu não sei de onde vem Essa força que me leva pra você, Eu só sei que faz bem, Mas confesso que no fundo eu duvidei.  Tive medo, em segredo, Guardei o sentimento e me sufoquei. Mas agora é a hora, Vou gritar pra todo mundo de uma vez...  Eu tô apaixonado, Eu tô contando tudo E não tô nem ligando pro que vão dizer.  Amar não é pecado E se eu tiver errado, Que se dane o mundo, Eu só quero você.;
Os10MandamentosdoAmor;EduardoCosta;Os dez mandamentos do amor Para conquistar uma mulher tem que ter carinho, tem que ter jeitinho  Tem que dar aquilo que ela quer  Primeiro, tudo começa com a paquera O seu olhar bem dentro do olhar dela E com jeitinho lhe tire para dançar Dance macio pra ela se aconchegar Segundo, um papo para derrubar avião Suavemente já pegando a sua mão  Terceiro, um cheiro pra sentir o seu perfume Olhando as outras pra ela sentir ciúmes O quarto é brincar no escurinho Ser o lobo mau e ela o chapeuzinho O quinto, tem que ser bem safadinho Preste atenção agora  Ao sexto mandamento Ela não vai te esquecer um só momento Repita a dose se sentir que ela gostou Na hora h, lhe chame de meu amor  Sétimo toque é lhe falar de paixão Falar somente das coisas do coração Oitavo mandamento diz para jurar Lhe ser fiel até a morte lhe levar No nono você diz que vai voltar Diz que amanhã vai telefonar E o décimo Deixa ela esperar;
Vagalumes;Pollo(part.IvoMozart);Vou caçar mais de um milhão de vagalumes por aí Pra te ver sorrir eu posso colorir o céu de outra cor Eu só quero amar você E quando amanhecer eu quero acordar Do seu lado Vou escrever mais de um milhão de canções pra você ouvir Que meu amor é teu, teu sorriso me faz sorrir Vou de Marte até a Lua, cê sabe já tô na tua Não cabe tanta saudade essa verdade nua e crua Eu sei o que eu faço, nosso caminho eu traço Um casal fora da lei ocupando o mesmo espaço Se eu to contigo não ligo se o sol não aparecer É que não faz sentido caminhar sem dar a mão pra você Teu sonho impossível vai ser realidade Sei que o mundo tá terrível mas não vai ser a maldade que Vai me tirar de você, eu faço você ver pra tu sorrir eu faço o mundo inteiro saber que eu Vou caçar mais de um milhão de vagalumes por aí E pra te ver sorrir eu posso colorir o céu de outra cor Eu só quero amar você E quando amanhecer eu quero acordar Do seu lado Pra ter o teu sorriso descubro o paraíso É só eu ver sua boca que eu perco o juízo por inteiro Sentimento verdadeiro eu e você ao som de Janelle Monáe Vem, deixa acontecer Me abraça que o tempo não passa quando cê tá perto Dá a mão e vem comigo que eu vejo como eu tô certo Eu digo que te amo cê pede algo impossível Levanta da sua cama hoje o céu está incrível Vou caçar mais de um milhão de vagalumes por aí E pra te ver sorrir eu posso colorir o céu de outra cor Eu só quero amar você E quando amanhecer eu quero acordar Do seu lado Faço dos teus braços um lugar mais seguro, Procurei paz em outro abraço não achei eu juro Saio do compasso, passo apuros que vier Abro a janela pra que você possa ver Vou caçar mais de um milhão de vagalumes por aí E pra te ver sorrir eu posso colorir o céu de outra cor Eu só quero amar você E quando amanhecer eu quero acordar Do seu lado;
Cadeiradeaço;ZéNetoeCristiano;Sobraram, as marcas, as brigas da separação Ficaram, os cacos de vidro e as flores no chão Se eu tivesse abaixado a voz Talvez hoje seriamos nós  Um mês e quatro dias tentando E ela nada de me atender Outras bocas fui desencanando Coração quase parou de tanto sofrer Meu refúgio foi mesa de bar Pra tentar te esquecer  Sentado numa cadeira de aço Enferrujada e bebendo Cada copo americano enganava o meu sofrimento Achei que eu tivesse Esquecido a danada naquela hora Até ver o seu nome escrito na lata de coca-cola  Em uma cadeira de aço enferrujada e bebendo Cada copo americano enganava o meu sofrimento Achei que eu tivesse Esquecido a danada naquela hora Até eu ver o seu nome escrito Na lata de coca-cola  Ai ai ai, ai ai ai Deu uma saudade dela agora Ai ai ai, ai ai ai Garçom joga essa lata fora;
ProntoFalei;EduardoCosta;Pegue suas coisas, coloca na mala Eu vou te esperar lá no sofá da sala É hora de dizer adeus!  Aguentei demais as suas ilusões Dizendo que me amava E tendo outras paixões por aí  Não me acostumei a ter só a metade Uma aqui comigo e a outra na saudade, mas passou  Infelizmente o que começa vai ter fim E você não foi o que eu sonhei pra mim Vá viver a sua vida e me esquece, desaparece  Eu não quero mais me sujeitar a isso que me sujeitei Me doando tanto como eu lhe doei e você não deu valor Eu não quero mais ter que depender do amor de alguém Que fala que me ama e não ama ninguém  Pode ir, me cansei Pronto, falei!;
