Music;Artist;Text
Razõeseemoções;NXZero;Dizer, o que eu posso dizer. Se estou cantando agora pra você ouvir com outra pessoa   É que às vezes acho Que não sou o melhor pra você  Mas às vezes acho Que poderíamos ser  O melhor pra nós dois  Só quero que saiba   Entre razões e emoções a saída  É fazer valer a pena  Se não agora depois, não importa  Por você posso esperar   Sentir, o que posso sentir Se em um segundo tudo acabar Não vou ter como fugir   É que às vezes acho Que não sou o melhor pra você  Mas às vezes acho que poderíamos ser  O melhor pra nós dois  Só quero que saiba   Entre razões e emoções a saída É fazer valer a pena  Se não agora depois não importa  Por você posso esperar, posso esperar, posso esperar..  Entre razões e emoções a saída É fazer valer a pena  Se não agora depois não importa  Por você posso esperar   Entre razões e emoções a saída É fazer valer a pena  Se não agora depois não importa  Por você posso esperar, posso esperar  Posso esperar, posso esperar...
MaisumaVez;RenatoRusso;Mas é claro que o sol vai voltar amanhã Mais uma vez, eu sei Escuridão já vi pior, de endoidecer gente sã Espera que o sol já vem...  Tem gente que está do mesmo lado que você Mas deveria estar do lado de lá Tem gente que machuca os outros Tem gente que não sabe amar Tem gente enganando a gente Veja a nossa vida como está Mas eu sei que um dia a gente aprende Se você quiser alguém em quem confiar Confie em si mesmo Quem acredita sempre alcança!  Mas é claro que o sol vai voltar amanhã Mais uma vez, eu sei Escuridão já vi pior, de endoidecer gente sã Espera que o sol já vem  Nunca deixe que lhe digam que não vale a pena Acreditar no sonho que se tem Ou que seus planos nunca vão dar certo Ou que você nunca vai ser alguém Tem gente que machuca os outros Tem gente que não sabe amar Mas eu sei que um dia a gente aprende Se você quiser alguém em quem confiar Confie em si mesmo Quem acredita sempre alcança!  Quem acredita sempre alcança! Quem acredita sempre alcança! Quem acredita sempre alcança! Quem acredita sempre alcança! Quem acredita sempre alcança! Quem acredita sempre alcança! Quem acredita sempre alcança!
Smooth;Santanaft.RobThomas;Man, it's a hot one Like seven inches from the midday sun Well, I hear you whisper and the words melt everyone But you stay so cool My muñequita, my Spanish Harlem Mona Lisa You're my reason for reason The step in my groove And if you said this life ain't good enough I would give my world to lift you up I could change my life to better suit your mood Because you're so smooth And it's just like the ocean under the moon Oh, it's the same as the emotion that I get from you You got the kind of lovin' that can be so smooth, yeah Give me your heart, make it real, or else forget about it But I'll tell you one thing If you would leave it'd be a crying shame In every breath and every word I hear your name calling me out Out from the barrio You hear my rhythm on your radio You feel the turning of the world, so soft and slow It's turning you round and round And if you said this life ain't good enough I would give my world to lift you up I could change my life to better suit your mood Because you're so smooth Well, and it's just like the ocean under the moon Well, it's the same as the emotion that I get from you You got the kind of lovin' that can be so smooth, yeah Give me your heart, make it real, or else forget about it Well, and it's just like the ocean under the moon Oh, it's the same as the emotion that I get from you You got the kind of lovin' that can be so smooth, yeah Give me your heart, make it real, or else forget about it Or else forget about it Or else forget about it Oh, let's don't forget about it Give me your heart, make it real Let's don't forget about it (hey) Let's don't forget about it (no oh no oh) Let's don't forget about it (no no no oh) Let's don't forget about it (hey no no oh) Let's don't forget about it (hey hey hey)
Malandragem;CássiaEller;Quem sabe eu ainda sou uma garotinha Esperando o ônibus da escola sozinha Cansada com minhas meias três-quartos Rezando baixo pelos cantos Por ser uma menina má Quem sabe o príncipe virou um chato Que vive dando no meu saco Quem sabe a vida é não sonhar  Eu só peço a Deus Um pouco de malandragem Pois sou criança e não conheço a verdade Eu sou poeta e não aprendi a amar Eu sou poeta e não aprendi a amar  Bobeira é não viver a realidade E eu ainda tenho uma tarde inteira Eu ando nas ruas, eu troco um cheque Mudo uma planta de lugar Dirijo meu carro Tomo o meu pileque E ainda tenho tempo pra cantar  Eu só peço a Deus Um pouco de malandragem Pois sou criança e não conheço a verdade Eu sou poeta e não aprendi a amar Eu sou poeta e não aprendi a amar
euamo;ZezédiCamargoeLuciano;EU AMO  Eu sei tudo que passa na sua cabeça baby São coisas naturais. Mas o que quer que aconteça, você vai ver, As respostas vão ser sempre iguais. Nossa casa foi feita sobre pedras, Dia-a-dia, mês-a-mês, No passado nem tudo foram flores, mas tudo bem, Me pergunte então mais uma vez:  Se eu vou ser pra todo sempre teu melhor amigo, Se eu quero ir até o fim da vida contigo, Se eu ainda sou apaixonado por você, E te amo mais do que qualquer ser humano, Eu vou, eu quero, eu sou. Eu amo!  Você tem seus motivos, nada a ver com a gente baby, O tempo vai mostrar (e eu prometo) E se quiser vai em frente (ok, pode perguntar) Se eu vou estar esperando do lado de lá  Se eu vou ser pra todo sempre teu melhor amigo, Se eu quero ir até o fim da vida contigo, Se eu ainda sou apaixonado por você, E te amo mais do que qualquer ser humano, Eu vou, eu quero, eu sou. Eu amo!  E é mais simples que parece, Eu cuido de você, você cuida de mim, Eu te aqueço e você me aquece, Pra sempre vai, vai ser assim.  Se eu vou ser pra todo sempre teu melhor amigo, Se eu quero ir até o fim da vida contigo, Se eu ainda sou apaixonado por você, E te amo mais do que qualquer ser humano, Eu vou, eu quero, eu sou. Eu amo!  Me pergunte então mais uma vez: Eu vou, eu quero, eu sou. Eu amo! As respostas vão ser sempre iguais: Eu vou, eu quero, eu sou. Eu amo!
Festa/SorteGrande;IveteSangalo;A minha sorte grande, Foi você cair do céu, Minha paixão verdadeira. Viver a emoção, Ganhar teu coração, Pra ser feliz a vida inteira... É lindo o teu sorriso, O brilho dos teus olhos, Meu anjo querubim. Doce dos teus beijos, Calor dos teus braços, Perfume de jasmim... Chegou no meu espaço, Mandando no pedaço, Com o amor que não é brincadeira. Pegou me deu um laço, Dançou bem no compasso, De prazer levantou poeira. Poeira Poeira Poeira Levantou poeira! Poeira Poeira Poeira Levantou poeira!
ÉIssoAí;AnaCarolina,SeuJorge;É isso aí Como a gente achou que ia ser A vida tão simples é boa Quase sempre É isso aí Os passos vão pelas ruas Ninguém reparou na lua A vida sempre continua Eu não sei parar de te olhar Eu não sei parar de te olhar Não vou parar de te olhar Eu não me canso de olhar Não sei parar De te olhar É isso aí Há quem acredite em milagres Há quem cometa maldades Há quem não saiba dizer a verdade É isso aí Um vendedor de flores Ensinar seus filhos a escolher seus amores Eu não sei parar de te olhar Não sei parar de te olhar Não vou parar de te olhar Eu não me canso de olhar Não vou parar de te olhar É isso aí Há quem acredite em milagres Há quem cometa maldades Há quem não saiba dizer a verdade É isso aí! Um vendedor de flores Ensinar seus filhos a escolher seus amores Eu não sei parar de te olhar Eu Não sei parar de te olhar Não vou parar de te olhar Eu não me canso de olhar Não vou parar de te olhar
NatirutsReggaePower;Natiruts;Quando a noite cair e o som  te trazer algum sonho bom  E fazer tudo transcender  Tristeza vai sumir e ninguém vai sofrer   Sintonize sua vibração  Não há tempo pra viver em vão  E não pense mais em desistir  Existe um mundo que só quer te ver sorrir   Não chora, a nossa vida é feita mesmo para se aprender  E agora, é hora de tentar se libertar não vai doer  Deixe a energia do som te levar  A vibe positiva solta pelo ar  Quem sente com a alma é capaz de amar  Tá sempre livre pra cantar   Ô, ô, ô, Ô Natiruts Reggae Power Chegou  Ô, ô, ô, Ô Transformando Toda Noite Em Amor  Da paz e do amor eu quero muito mais  Não tenho a vida ganha vou correndo atrás  A luz do seu sorriso pela noite é demais  Brasil, Jamaica harmonia de paz   Sintonize sua vibração  Não há tempo pra viver em vão  E não pense mais em desistir  Existe um mundo que só quer te ver sorrir  Não chora, a nossa vida é feita mesmo para se aprender  E agora, é hora de tentar se libertar não vai doer  Deixe a energia do som te levar  A vibe positiva solta pelo ar  Quem sente com a alma é capaz de amar  tá sempre livre pra cantar   Ô, ô, ô, Ô Natiruts Reggae Power Chegou  Ô, ô, ô, Ô Transformando Toda Noite Em Amor
AnnaJúlia;LosHermanos;Quem te ver passar assim por mim não sabe o que é sofrer Ter que ver você assim sempre tão linda Contemplar o sol do teu olhar, perder você no ar Na certeza de um amor  Me achar um nada  Pois, sem ter teu carinho eu me sinto sozinho Eu me afogo em solidão  Oh, Anna Julia Oh, Anna Julia  Nunca acreditei na ilusão de ter você pra mim Me atormenta a previsão do nosso destino Eu passando o dia a te esperar, você sem me notar Quando tudo tiver fim, você vai estar com um cara  Um alguém sem carinho Será sempre um espinho dentro do meu coração  Oh, Anna Julia Oh, Anna Julia  Sei que você já não quer o meu amor Sei que você já não gosta de mim Eu sei que eu não sou quem você sempre sonhou Mas vou reconquistar o seu amor todo pra mim  Oh Anna Julia Oh Anna Julia Oh Anna Julia Oh Anna Julia,Julia,Julia ou, ou, ou
QuerCasarComigo;BrunoeMarrone;"Quer? Quer? Quer? Quer casar comigo? Ser mais que bons amigos Que nem o céu e o mar  Quer? Quer? Quer? Quer ser pra sempre minha Sereia ou rainha ""Hummm"" pra mim tanto faz  Quer? Quer? Quer? Quer casar comigo? Ser mais que bons amigos Que nem o céu e o mar  Quer? Quer? Quer? Quer ser pra sempre minha Sereia ou rainha ""Hummm"" pra mim tanto faz  Chegou chutando o balde Fazendo fazendo baderna no meu coração Mostrou que veio pra ficar E agora tô carente tô xonado tem jeito não  Que vou fazer da vida sem o seu carinho Seu jeitinho, seu dengo, seu cheiro, chamego ai ai Menina! lá vou eu de novo aqui te perguntar  Quer? Quer? Quer? Quer casar comigo? Ser mais que bons amigos Que nem o céu e o mar  Quer? Quer? Quer? Quer ser pra sempre minha Sereia ou rainha ""Hummm"" pra mim tanto faz  Chegou chutando o balde Fazendo fazendo baderna no meu coração Mostrou que veio pra ficar E agora tô carente, tô xonado tem jeito não  Que vou fazer da vida sem o seu carinho Seu jeitinho, seu dengo, seu cheiro, chamego ai ai Menina! Lá vou eu de novo aqui te perguntar  Quer? Quer? Quer? Quer casar comigo? Ser mais que bons amigos Que nem o céu e o mar  Quer? Quer? Quer? Quer ser pra sempre minha Sereia ou rainha ""Hummm"" pra mim tanto faz  Quer casar comigo?"
