Music,Artist,Text,Unnamed: 3
Teesperando,LuanSantana,"['caia', 'cantada', 'conheça', 'outro', 'cara', 'filum', 'banco', 'tal', 'fernando', 'lance', 'assim', 'graça', 'fiquem', 'gostar', 'casem', 'amar', 'seis', 'me', 'olhe', 'pro', 'outro', 'aí', 'poi', 'sei', 'lá', 'suporte', 'casamento', 'causa', 'filhos', 'tempo', 'dez', 'vinte', 'trinta', 'ano', 'assustar', 'cabelos', 'brancos', 'dia', 'vai', 'sentar', 'cadeira', 'balanço', 'vai', 'lembrar', 'tempo', 'vinte', 'ano', 'vai', 'lembrar', 'mim', 'perguntar', 'onde', 'cara', 'deve', 'estar', 'vou', 'estar', 'esperando', 'velhinha', 'gagá', 'noventa', 'viúva', 'sozinha', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'além', 'dessa', 'vida', 'vou', 'estar', 'esperando', 'caia', 'cantada', 'conheça', 'outro', 'cara', 'filum', 'banco', 'tal', 'fernando', 'lance', 'assim', 'graça', 'fiquem', 'gostar', 'casem', 'amar', 'seis', 'me', 'olhe', 'pro', 'outro', 'aí', 'poi', 'sei', 'lá', 'suporte', 'casamento', 'causa', 'filhos', 'tempo', 'dez', 'vinte', 'trinta', 'ano', 'assustar', 'cabelos', 'brancos', 'dia', 'vai', 'sentar', 'cadeira', 'balanço', 'vai', 'lembrar', 'tempo', 'vinte', 'ano', 'vai', 'lembrar', 'mim', 'perguntar', 'onde', 'cara', 'deve', 'estar', 'vou', 'estar', 'esperando', 'velhinha', 'gagá', 'noventa', 'viúva', 'sozinha', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'além', 'dessa', 'vida', 'vou', 'estar', 'esperando', 'velhinha', 'gagá', 'noventa', 'viúva', 'sozinha', 'vou', 'importar', 'vou', 'ligar', 'chamar', 'pra', 'sair', 'namorar', 'sofá', 'além', 'dessa', 'vida', 'vou', 'estar', 'esperando', 'esperando']",
Vidinhadebalada,HenriqueeJuliano,"['oi', 'tudo', 'bem', 'bom', 'ver', 'gente', 'ficou', 'coração', 'gostou', 'deu', 'pra', 'esquecer', 'desculpe', 'visita', 'vim', 'falar', 'tô', 'afim', 'cê', 'vai', 'ter', 'ficar', 'vim', 'acabar', 'vidinha', 'balada', 'dar', 'outro', 'gosto', 'pra', 'boca', 'ressaca', 'refrão', 'vai', 'namorar', 'comigo', 'sim', 'vai', 'mim', 'igual', 'doi', 'reclamar', 'cê', 'vai', 'casar', 'comunhão', 'ben', 'coração', 'vai', 'namorar', 'comigo', 'sim', 'vai', 'mim', 'igual', 'doi', 'reclamar', 'cê', 'vai', 'casar', 'comunhão', 'ben', 'coração', 'vai', 'namorar', 'comigo', 'sim']",
Infiel,MaríliaMendonça,"['disputa', 'quero', 'provocar', 'descobri', 'faz', 'ano', 'tô', 'procurando', 'pra', 'dizer', 'hoje', 'farsa', 'vai', 'acabar', 'hoje', 'hora', 'ir', 'embora', 'hoje', 'vai', 'ficar', 'momento', 'deve', 'estar', 'feliz', 'achando', 'ganhou', 'perdi', 'nada', 'acabei', 'livrar', 'certeza', 'vai', 'atrás', 'outra', 'intenção', 'tá', 'casa', 'rumo', 'única', 'opção', 'agora', 'aguenta', 'barra', 'sozinha', 'sabia', 'tudo', 'vira', 'culpa', 'prêmio', 'vale', 'nada', 'entregando', 'pu', 'malas', 'lá', 'ainda', 'saiu', 'chorando', 'competição', 'amor', 'serviu', 'pra', 'machucar', 'tá', 'mão', 'agora', 'vai', 'cuidar', 'traidor', 'faça', 'favor', 'iêê', 'infiel', 'quero', 'ver', 'morar', 'motel', 'expulsando', 'coração', 'assuma', 'consequências', 'dessa', 'traição', 'iêêê', 'infiel', 'agora', 'vai', 'fazer', 'papel', 'daqui', 'tempo', 'vai', 'acostumar', 'ai', 'vai', 'ser', 'vai', 'enganar', 'vai', 'mudar', 'aaaa', 'prêmio', 'vale', 'nada', 'entregando', 'pu', 'malas', 'lá', 'ainda', 'saiu', 'chorando', 'competição', 'amor', 'serviu', 'pra', 'machucar', 'tá', 'mão', 'agora', 'vai', 'cuidar', 'traidor', 'faça', 'favor', 'iêê', 'infiel', 'quero', 'ver', 'morar', 'motel', 'expulsando', 'coração', 'assuma', 'consequências', 'dessa', 'traição', 'iêêê', 'infiel', 'agora', 'vai', 'fazer', 'papel', 'daqui', 'tempo', 'vai', 'acostumar', 'ai', 'vai', 'ser', 'vai', 'enganar']",
Atrasadinha,FelipeAraújoeFerrugem,"['botei', 'melhor', 'roupa', 'pra', 'esconder', 'defeitos', 'exagerei', 'perfume', 'pra', 'impressionar', 'cheguei', 'cedo', 'pra', 'ver', 'chegar', 'chegou', 'atrasadinha', 'tava', 'linda', 'boca', 'calou', 'coração', 'gritou', 'cima', 'vai', 'fé', 'aposta', 'nela', 'boa', 'menina', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'daí', 'primeiro', 'encontro', 'hoje', 'beijo', 'pronto', 'oh', 'oh', 'chegou', 'atrasadinha', 'tava', 'linda', 'boca', 'calou', 'coração', 'gritou', 'cima', 'vai', 'fé', 'aposta', 'nela', 'boa', 'menina', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'vamos', 'pular', 'parte', 'peço', 'vinho', 'bom', 'taça', 'merece', 'tirar', 'batom', 'deixa', 'comigo', 'pra', 'dom', 'daí', 'primeiro', 'encontro', 'hoje', 'beijo', 'pronto', 'hoje', 'beijo', 'pronto', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'hoje', 'beijo', 'pronto']",
Largadoástraças,ZéNetoeCristiano,"['orgulho', 'caiu', 'subiu', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'piorar', 'tá', 'tocando', 'modão', 'arrastar', 'chifre', 'asfalto', 'tô', 'tentando', 'esquecer', 'coração', 'entende', 'novo', 'fechando', 'bar', 'afogando', 'saudade', 'querosene', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'nunca', 'acaba', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'nunca', 'acaba', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina', 'orgulho', 'caiu', 'subiu', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'piorar', 'tá', 'tocando', 'modão', 'arrastar', 'chifre', 'asfalto', 'tô', 'tentando', 'esquecer', 'coração', 'percebe', 'novo', 'fechando', 'bar', 'afogando', 'saudade', 'querosene', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'nunca', 'acaba', 'vou', 'beijando', 'copo', 'abraçando', 'garrafas', 'solidão', 'companheira', 'nesse', 'risca', 'faca', 'enquanto', 'cê', 'volta', 'tô', 'largado', 'traças', 'maldito', 'sentimento', 'nunca', 'acaba', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina', 'oooo', 'oooo', 'falta', 'bebida', 'ameniza', 'oooo', 'oooo', 'tô', 'tentando', 'apagar', 'fogo', 'gasolina']",
AmarnãoéPecado,LuanSantana,"['sei', 'onde', 'vem', 'força', 'lev', 'pra', 'sei', 'faz', 'bem', 'confesso', 'fundo', 'duvidei', 'medo', 'segredo', 'guardei', 'sentimento', 'sufoquei', 'agora', 'hora', 'vou', 'gritar', 'pra', 'todo', 'mundo', 'vez', 'tô', 'apaixonado', 'tô', 'contando', 'tudo', 'tô', 'ligando', 'pro', 'vão', 'dizer', 'amar', 'pecado', 'errado', 'dane', 'mundo', 'quero']",
Os10MandamentosdoAmor,EduardoCosta,"['dez', 'mandamentos', 'amor', 'conquistar', 'mulher', 'ter', 'carinho', 'ter', 'jeitinho', 'dar', 'quer', 'primeiro', 'tudo', 'começa', 'paquera', 'olhar', 'bem', 'dentro', 'olhar', 'jeitinho', 'tire', 'dançar', 'dance', 'macio', 'pra', 'aconchegar', 'segundo', 'papo', 'derrubar', 'avião', 'suavemente', 'pegando', 'mão', 'terceiro', 'cheiro', 'pra', 'sentir', 'perfume', 'olhando', 'outras', 'pra', 'sentir', 'ciúmes', 'quarto', 'brincar', 'escurinho', 'ser', 'lobo', 'mau', 'chapeuzinho', 'quinto', 'ser', 'bem', 'safadinho', 'preste', 'atenção', 'agora', 'sexto', 'mandamento', 'vai', 'esquecer', 'momento', 'repita', 'dose', 'sentir', 'gostou', 'hora', 'h', 'chame', 'amor', 'sétimo', 'toque', 'falar', 'paixão', 'falar', 'somente', 'coisas', 'coração', 'oitavo', 'mandamento', 'diz', 'jurar', 'ser', 'fiel', 'morte', 'levar', 'nono', 'diz', 'vai', 'voltar', 'diz', 'amanhã', 'vai', 'telefonar', 'décimo', 'deixa', 'esperar']",
Vagalumes,Pollo(part.IvoMozart),"['vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'lado', 'vou', 'escrever', 'milhão', 'canções', 'pra', 'ouvir', 'amor', 'sorriso', 'faz', 'sorrir', 'vou', 'marte', 'lua', 'cê', 'sabe', 'tô', 'cabe', 'tanta', 'saudade', 'verdade', 'nua', 'crua', 'sei', 'faço', 'caminho', 'traço', 'casal', 'lei', 'ocupando', 'espaço', 'to', 'contigo', 'ligo', 'sol', 'aparecer', 'faz', 'sentido', 'caminhar', 'dar', 'mão', 'pra', 'sonho', 'impossível', 'vai', 'ser', 'realidade', 'sei', 'mundo', 'tá', 'terrível', 'vai', 'ser', 'maldade', 'vai', 'tirar', 'faço', 'ver', 'pra', 'sorrir', 'faço', 'mundo', 'inteiro', 'saber', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'lado', 'pra', 'ter', 'sorriso', 'descubro', 'paraíso', 'ver', 'boca', 'perco', 'juízo', 'inteiro', 'sentimento', 'verdadeiro', 'som', 'janelle', 'monáe', 'vem', 'deixa', 'acontecer', 'abraça', 'tempo', 'passa', 'cê', 'tá', 'perto', 'dá', 'mão', 'vem', 'comigo', 'vejo', 'tô', 'certo', 'digo', 'amo', 'cê', 'pede', 'algo', 'impossível', 'levanta', 'cama', 'hoje', 'céu', 'incrível', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'lado', 'faço', 'braços', 'lugar', 'seguro', 'procurei', 'paz', 'outro', 'abraço', 'achei', 'juro', 'saio', 'compasso', 'passo', 'apuros', 'vier', 'abro', 'janela', 'pra', 'possa', 'ver', 'vou', 'caçar', 'milhão', 'vagalumes', 'aí', 'pra', 'ver', 'sorrir', 'posso', 'colorir', 'céu', 'outra', 'cor', 'quero', 'amar', 'amanhecer', 'quero', 'acordar', 'lado']",
Cadeiradeaço,ZéNetoeCristiano,"['sobraram', 'marcas', 'brigas', 'separação', 'ficaram', 'cacos', 'vidro', 'flores', 'chão', 'abaixado', 'voz', 'talvez', 'hoje', 'seriamos', 'mês', 'quatro', 'dia', 'tentando', 'nada', 'atender', 'outras', 'bocas', 'desencanando', 'coração', 'quase', 'parou', 'tanto', 'sofrer', 'refúgio', 'mesa', 'bar', 'pra', 'tentar', 'esquecer', 'sentado', 'cadeira', 'aço', 'enferrujada', 'bebendo', 'cada', 'copo', 'americano', 'enganava', 'sofrimento', 'achei', 'esquecido', 'danada', 'naquela', 'hora', 'ver', 'nome', 'escrito', 'lata', 'coca-cola', 'cadeira', 'aço', 'enferrujada', 'bebendo', 'cada', 'copo', 'americano', 'enganava', 'sofrimento', 'achei', 'esquecido', 'danada', 'naquela', 'hora', 'ver', 'nome', 'escrito', 'lata', 'coca-cola', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'deu', 'saudade', 'agora', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'garçom', 'joga', 'lata']",
ProntoFalei,EduardoCosta,"['pegue', 'coisas', 'coloca', 'mala', 'vou', 'esperar', 'lá', 'sofá', 'sala', 'hora', 'dizer', 'adeus', 'aguentei', 'demais', 'ilusões', 'dizendo', 'amava', 'tendo', 'outras', 'paixões', 'aí', 'acostumei', 'ter', 'metade', 'aqui', 'comigo', 'outra', 'saudade', 'passou', 'infelizmente', 'começa', 'vai', 'ter', 'fim', 'sonhei', 'pra', 'mim', 'vá', 'viver', 'vida', 'esquece', 'desaparece', 'quero', 'sujeitar', 'sujeitei', 'doando', 'tanto', 'doei', 'deu', 'valor', 'quero', 'ter', 'depender', 'amor', 'alguém', 'fala', 'ama', 'ama', 'ninguém', 'pode', 'ir', 'cansei', 'pronto', 'falei']",
