Music,Artist,Text,Unnamed: 3
Teesperando,LuanSantana,"['cai', 'cant', 'conheç', 'outr', 'car', 'fil', 'banc', 'tal', 'fern', 'lanc', 'assim', 'graç', 'fiqu', 'gost', 'cas', 'am', 'seil', 'mes', 'olh', 'pro', 'outr', 'aí', 'poi', 'sei', 'lá', 'suport', 'cas', 'caus', 'filh', 'temp', 'dez', 'vint', 'trint', 'ano', 'assust', 'cabel', 'branc', 'dia', 'vai', 'sent', 'cade', 'balanç', 'vai', 'lembr', 'temp', 'vint', 'ano', 'vai', 'lembr', 'mim', 'pergunt', 'ond', 'car', 'dev', 'est', 'vou', 'est', 'esper', 'velh', 'gag', 'novent', 'viúv', 'so', 'vou', 'import', 'vou', 'lig', 'cham', 'pra', 'sair', 'namor', 'sof', 'além', 'dess', 'vid', 'vou', 'est', 'esper', 'cai', 'cant', 'conheç', 'outr', 'car', 'fil', 'banc', 'tal', 'fern', 'lanc', 'assim', 'graç', 'fiqu', 'gost', 'cas', 'am', 'seil', 'mes', 'olh', 'pro', 'outr', 'aí', 'poi', 'sei', 'lá', 'suport', 'cas', 'caus', 'filh', 'temp', 'dez', 'vint', 'trint', 'ano', 'assust', 'cabel', 'branc', 'dia', 'vai', 'sent', 'cade', 'balanç', 'vai', 'lembr', 'temp', 'vint', 'ano', 'vai', 'lembr', 'mim', 'pergunt', 'ond', 'car', 'dev', 'est', 'vou', 'est', 'esper', 'velh', 'gag', 'novent', 'viúv', 'so', 'vou', 'import', 'vou', 'lig', 'cham', 'pra', 'sair', 'namor', 'sof', 'além', 'dess', 'vid', 'vou', 'est', 'esper', 'velh', 'gag', 'novent', 'viúv', 'so', 'vou', 'import', 'vou', 'lig', 'cham', 'pra', 'sair', 'namor', 'sof', 'além', 'dess', 'vid', 'vou', 'est', 'esper', 'esper']",
Vidinhadebalada,HenriqueeJuliano,"['oi', 'tud', 'bem', 'bom', 'ver', 'gent', 'fic', 'coraçã', 'gost', 'deu', 'pra', 'esquec', 'desculp', 'visit', 'vim', 'fal', 'tô', 'afim', 'cê', 'vai', 'ter', 'fic', 'vim', 'acab', 'vid', 'bal', 'dar', 'outr', 'gost', 'pra', 'boc', 'ressac', 'refr', 'vai', 'namor', 'comig', 'sim', 'vai', 'mim', 'igual', 'doi', 'reclam', 'cê', 'vai', 'cas', 'comunh', 'bem', 'coraçã', 'vai', 'namor', 'comig', 'sim', 'vai', 'mim', 'igual', 'doi', 'reclam', 'cê', 'vai', 'cas', 'comunh', 'bem', 'coraçã', 'vai', 'namor', 'comig', 'sim']",
Infiel,MaríliaMendonça,"['disput', 'quer', 'provoc', 'descobr', 'faz', 'ano', 'tô', 'procur', 'pra', 'diz', 'hoj', 'fars', 'vai', 'acab', 'hoj', 'hor', 'ir', 'emb', 'hoj', 'vai', 'fic', 'moment', 'dev', 'est', 'feliz', 'ach', 'ganh', 'perd', 'nad', 'acab', 'livr', 'cert', 'vai', 'atrás', 'outr', 'intenç', 'tá', 'cas', 'rum', 'únic', 'opç', 'agor', 'aguent', 'barr', 'so', 'sab', 'tud', 'vir', 'culp', 'prêmi', 'val', 'nad', 'entreg', 'pu', 'mal', 'lá', 'aind', 'saiu', 'chor', 'compet', 'am', 'serv', 'pra', 'machuc', 'tá', 'mão', 'agor', 'vai', 'cuid', 'trai', 'faç', 'favor', 'iêê', 'infiel', 'quer', 'ver', 'mor', 'motel', 'expuls', 'coraçã', 'assum', 'consequ', 'dess', 'tra', 'iêê', 'infiel', 'agor', 'vai', 'faz', 'papel', 'daqu', 'temp', 'vai', 'acostum', 'ai', 'vai', 'ser', 'vai', 'engan', 'vai', 'mud', 'aaa', 'prêmi', 'val', 'nad', 'entreg', 'pu', 'mal', 'lá', 'aind', 'saiu', 'chor', 'compet', 'am', 'serv', 'pra', 'machuc', 'tá', 'mão', 'agor', 'vai', 'cuid', 'trai', 'faç', 'favor', 'iêê', 'infiel', 'quer', 'ver', 'mor', 'motel', 'expuls', 'coraçã', 'assum', 'consequ', 'dess', 'tra', 'iêê', 'infiel', 'agor', 'vai', 'faz', 'papel', 'daqu', 'temp', 'vai', 'acostum', 'ai', 'vai', 'ser', 'vai', 'engan']",
Atrasadinha,FelipeAraújoeFerrugem,"['bot', 'melhor', 'roup', 'pra', 'escond', 'defeit', 'exag', 'perfum', 'pra', 'impress', 'cheg', 'ced', 'pra', 'ver', 'cheg', 'cheg', 'atras', 'tav', 'lind', 'boc', 'cal', 'coraçã', 'grit', 'cim', 'vai', 'fé', 'apost', 'nel', 'boa', 'menin', 'vam', 'pul', 'part', 'peç', 'vinh', 'bom', 'taç', 'merec', 'tir', 'batom', 'deix', 'comig', 'pra', 'dom', 'vam', 'pul', 'part', 'peç', 'vinh', 'bom', 'taç', 'merec', 'tir', 'batom', 'deix', 'comig', 'pra', 'dom', 'daí', 'prim', 'encontr', 'hoj', 'beij', 'pront', 'oh', 'oh', 'cheg', 'atras', 'tav', 'lind', 'boc', 'cal', 'coraçã', 'grit', 'cim', 'vai', 'fé', 'apost', 'nel', 'boa', 'menin', 'vam', 'pul', 'part', 'peç', 'vinh', 'bom', 'taç', 'merec', 'tir', 'batom', 'deix', 'comig', 'pra', 'dom', 'vam', 'pul', 'part', 'peç', 'vinh', 'bom', 'taç', 'merec', 'tir', 'batom', 'deix', 'comig', 'pra', 'dom', 'vam', 'pul', 'part', 'peç', 'vinh', 'bom', 'taç', 'merec', 'tir', 'batom', 'deix', 'comig', 'pra', 'dom', 'daí', 'prim', 'encontr', 'hoj', 'beij', 'pront', 'hoj', 'beij', 'pront', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'uh', 'hoj', 'beij', 'pront']",
Largadoástraças,ZéNetoeCristiano,"['orgulh', 'caiu', 'sub', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'pior', 'tá', 'toc', 'mod', 'arrast', 'chifr', 'asfalt', 'tô', 'tent', 'esquec', 'coraçã', 'entend', 'nov', 'fech', 'bar', 'afog', 'saudad', 'querosen', 'vou', 'beij', 'cop', 'abraç', 'garraf', 'solid', 'companh', 'ness', 'risc', 'fac', 'enquant', 'cê', 'volt', 'tô', 'larg', 'traç', 'maldit', 'sent', 'nunc', 'acab', 'vou', 'beij', 'cop', 'abraç', 'garraf', 'solid', 'companh', 'ness', 'risc', 'fac', 'enquant', 'cê', 'volt', 'tô', 'larg', 'traç', 'maldit', 'sent', 'nunc', 'acab', 'ooo', 'ooo', 'falt', 'beb', 'ameniz', 'ooo', 'ooo', 'tô', 'tent', 'apag', 'fog', 'gasolin', 'orgulh', 'caiu', 'sub', 'álcool', 'ai', 'deu', 'ruim', 'pra', 'mim', 'pra', 'pior', 'tá', 'toc', 'mod', 'arrast', 'chifr', 'asfalt', 'tô', 'tent', 'esquec', 'coraçã', 'perceb', 'nov', 'fech', 'bar', 'afog', 'saudad', 'querosen', 'vou', 'beij', 'cop', 'abraç', 'garraf', 'solid', 'companh', 'ness', 'risc', 'fac', 'enquant', 'cê', 'volt', 'tô', 'larg', 'traç', 'maldit', 'sent', 'nunc', 'acab', 'vou', 'beij', 'cop', 'abraç', 'garraf', 'solid', 'companh', 'ness', 'risc', 'fac', 'enquant', 'cê', 'volt', 'tô', 'larg', 'traç', 'maldit', 'sent', 'nunc', 'acab', 'ooo', 'ooo', 'falt', 'beb', 'ameniz', 'ooo', 'ooo', 'tô', 'tent', 'apag', 'fog', 'gasolin', 'ooo', 'ooo', 'falt', 'beb', 'ameniz', 'ooo', 'ooo', 'tô', 'tent', 'apag', 'fog', 'gasolin']",
AmarnãoéPecado,LuanSantana,"['sei', 'ond', 'vem', 'forç', 'lev', 'pra', 'sei', 'faz', 'bem', 'confess', 'fund', 'duvid', 'med', 'segred', 'guard', 'sent', 'sufoq', 'agor', 'hor', 'vou', 'grit', 'pra', 'tod', 'mund', 'vez', 'tô', 'apaixon', 'tô', 'cont', 'tud', 'tô', 'lig', 'pro', 'vão', 'diz', 'am', 'pec', 'err', 'dan', 'mund', 'quer']",
Os10MandamentosdoAmor,EduardoCosta,"['dez', 'mand', 'am', 'conquist', 'mulh', 'ter', 'car', 'ter', 'jeit', 'dar', 'qu', 'prim', 'tud', 'começ', 'paqu', 'olh', 'bem', 'dentr', 'olh', 'jeit', 'tir', 'danç', 'danc', 'maci', 'pra', 'aconcheg', 'segund', 'pap', 'derrub', 'avi', 'suav', 'peg', 'mão', 'terc', 'cheir', 'pra', 'sent', 'perfum', 'olh', 'outr', 'pra', 'sent', 'ciúm', 'quart', 'brinc', 'escur', 'ser', 'lob', 'mau', 'chapeu', 'quint', 'ser', 'bem', 'saf', 'prest', 'atenç', 'agor', 'sext', 'mand', 'vai', 'esquec', 'moment', 'repit', 'dos', 'sent', 'gost', 'hor', 'h', 'cham', 'am', 'sét', 'toqu', 'fal', 'paix', 'fal', 'soment', 'cois', 'coraçã', 'oitav', 'mand', 'diz', 'jur', 'ser', 'fiel', 'mort', 'lev', 'non', 'diz', 'vai', 'volt', 'diz', 'amanhã', 'vai', 'telefon', 'déc', 'deix', 'esper']",
Vagalumes,Pollo(part.IvoMozart),"['vou', 'caç', 'milhã', 'vagalum', 'aí', 'pra', 'ver', 'sorr', 'poss', 'color', 'céu', 'outr', 'cor', 'quer', 'am', 'amanhec', 'quer', 'acord', 'lad', 'vou', 'escrev', 'milhã', 'cançã', 'pra', 'ouv', 'am', 'sorris', 'faz', 'sorr', 'vou', 'mart', 'lua', 'cê', 'sab', 'tô', 'cab', 'tant', 'saudad', 'verdad', 'nua', 'cru', 'sei', 'faç', 'caminh', 'traç', 'casal', 'lei', 'ocup', 'espaç', 'to', 'contig', 'lig', 'sol', 'aparec', 'faz', 'sent', 'caminh', 'dar', 'mão', 'pra', 'sonh', 'imposs', 'vai', 'ser', 'real', 'sei', 'mund', 'tá', 'terr', 'vai', 'ser', 'maldad', 'vai', 'tir', 'faç', 'ver', 'pra', 'sorr', 'faç', 'mund', 'int', 'sab', 'vou', 'caç', 'milhã', 'vagalum', 'aí', 'pra', 'ver', 'sorr', 'poss', 'color', 'céu', 'outr', 'cor', 'quer', 'am', 'amanhec', 'quer', 'acord', 'lad', 'pra', 'ter', 'sorris', 'descubr', 'paraís', 'ver', 'boc', 'perc', 'juíz', 'int', 'sent', 'verd', 'som', 'janell', 'moná', 'vem', 'deix', 'acontec', 'abraç', 'temp', 'pass', 'cê', 'tá', 'pert', 'dá', 'mão', 'vem', 'comig', 'vej', 'tô', 'cert', 'dig', 'amo', 'cê', 'ped', 'alg', 'imposs', 'levant', 'cam', 'hoj', 'céu', 'incr', 'vou', 'caç', 'milhã', 'vagalum', 'aí', 'pra', 'ver', 'sorr', 'poss', 'color', 'céu', 'outr', 'cor', 'quer', 'am', 'amanhec', 'quer', 'acord', 'lad', 'faç', 'braç', 'lug', 'segur', 'procur', 'paz', 'outr', 'abraç', 'ach', 'jur', 'sai', 'compass', 'pass', 'apur', 'vi', 'abr', 'janel', 'pra', 'poss', 'ver', 'vou', 'caç', 'milhã', 'vagalum', 'aí', 'pra', 'ver', 'sorr', 'poss', 'color', 'céu', 'outr', 'cor', 'quer', 'am', 'amanhec', 'quer', 'acord', 'lad']",
Cadeiradeaço,ZéNetoeCristiano,"['sobr', 'marc', 'brig', 'separ', 'fic', 'cac', 'vidr', 'fl', 'chã', 'abaix', 'voz', 'talv', 'hoj', 'seri', 'mê', 'quatr', 'dia', 'tent', 'nad', 'atend', 'outr', 'boc', 'desencan', 'coraçã', 'quas', 'par', 'tant', 'sofr', 'refúgi', 'mes', 'bar', 'pra', 'tent', 'esquec', 'sent', 'cade', 'aço', 'enferruj', 'beb', 'cad', 'cop', 'americ', 'engan', 'sofr', 'ach', 'esquec', 'dan', 'naquel', 'hor', 'ver', 'nom', 'escrit', 'lat', 'coca-col', 'cade', 'aço', 'enferruj', 'beb', 'cad', 'cop', 'americ', 'engan', 'sofr', 'ach', 'esquec', 'dan', 'naquel', 'hor', 'ver', 'nom', 'escrit', 'lat', 'coca-col', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'deu', 'saudad', 'agor', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'garçom', 'jog', 'lat']",
ProntoFalei,EduardoCosta,"['peg', 'cois', 'coloc', 'mal', 'vou', 'esper', 'lá', 'sof', 'sal', 'hor', 'diz', 'adeu', 'aguent', 'demal', 'ilusã', 'diz', 'am', 'tend', 'outr', 'paix', 'aí', 'acostum', 'ter', 'metad', 'aqu', 'comig', 'outr', 'saudad', 'pass', 'infeliz', 'começ', 'vai', 'ter', 'fim', 'sonh', 'pra', 'mim', 'vá', 'viv', 'vid', 'esquec', 'desaparec', 'quer', 'sujeit', 'sujeit', 'do', 'tant', 'doe', 'deu', 'val', 'quer', 'ter', 'depend', 'am', 'alguém', 'fal', 'ama', 'ama', 'ninguém', 'pod', 'ir', 'cans', 'pront', 'fal']",
